id;date;text;hashtags
1133159962530783232;2019-05-27;Do you think that #Huawei's operating system can be a rival to #Android? #Yes, Huawei can rival all operating systems including Android! #No, I don't think Huawei can be a rival under current conditions!;#Huawei #Android #Yes #No
1133159515195695104;2019-05-27;Huawei removed from Wi-Fi Alliance and SD Association http://bit.ly/2I4UDvH #android #news #tech;#android #news #tech
1133159269895942144;2019-05-27;Huawei’s Android and Windows alternatives are destined for failure https://www.theverge.com/2019/5/23/18636841/huawei-android-windows-alternatives-europe-us-editorial … via @Verge;
1133155483362181121;2019-05-27;Huawei and the Trump debacle: The story so far (Updated, May 27) http://bit.ly/2X8Y0rx #Android;#Android
1133152964548419584;2019-05-27;Huawei Ark OS could be the name of Huawei’s Android replacement - https://infot3chpro.com/huawei-ark-os-could-be-the-name-of-huaweis-android-replacement/ … - #Technews #Gadgets #technology #mobile #gamingpic.twitter.com/M6NQ5Ft5o2;#Technews #Gadgets #technology #mobile #gamingpic
1133151625135185923;2019-05-27;Me laughing at Huawei memes on a Huawei phone #HuaweiBan pic.twitter.com/YjJ0ojeFIy;#HuaweiBan
1133151598170038276;2019-05-27;Do you think the ban on Huawei is fair? (Poll of the Week) – Android Authority: - Do you… https://goo.gl/fb/NFxah1;
1133151397162160128;2019-05-27;Huawei has immediately lost access to Android and Google http://bit.ly/2w6ccFU;
1133148536894349312;2019-05-27;#Google restrict Huawei's use of #Android http://sharewww.com/9k2Lg pic.twitter.com/iPYCDp0mwM;#Google #Android
1133147381061623808;2019-05-27;Luddite viewpoint that is likely wrong. #LineageOS #SailfishOS and possibly #Ubuntu can replace if doing so doesn't run afoul of US law. Perhaps Huawei acquires OnePlus for #OxygenOS (may still rely on Android). Now Google and apple will soon have to contend with Huawei's #ArkOS.;#LineageOS #SailfishOS #Ubuntu #OxygenOS #ArkOS
1133144235211755521;2019-05-27;Huawei needs Google’s Android and Microsoft’s Windows 10 like fish need water - BGR http://dlvr.it/R5X8ks pic.twitter.com/RUUJ5p66mO;
1133143891425685504;2019-05-27;"Applico: ""Huawei phones are basically dead outside of China without the Android platform."" - BBG";
1133143681870041088;2019-05-27;Huawei CEO: Company's New OS Will Run Android Apps https://techviral.net/huawei-new-os-run-android-apps/ …;
1133143653151645696;2019-05-27;Huawei Ark OS could be the name of Huawei’s Android replacement http://bit.ly/30OwstK;
1133142798172082177;2019-05-27;Should organisations be worried about current investments in Huawei devices? We are reliant on Android OS being available and the quality of Huawei hardware makes it a perfect match.;
