id;date;text;hashtags
1129521219437498368;2019-05-17;Faked news. without Huawei, Qualcomm will sell more ICs and Apple will sell more phones. Google android is already free and huawei didn’t pay google anything. The communist party government actually forced google out of China.;
1129515129769484288;2019-05-17;me: lmao xD android is shit ! Huawei Who? zara: *posts a selfie in amazing quality me: HUAWEI OMG QUEEN !! OUTSOLD IPHONE YAAAASSSS WE STANN;
1129509332788420610;2019-05-17;#mensfashion| #womensfashion| #homeware| #tech CEWAAL 8mm 2MP 7M Android Phone USB Type C Endoscope Camera Waterproof Video Camera Pipe Inspection Camera Borescope for Huawei pic.twitter.com/s7P9MuPsVP;#mensfashion #womensfashion #homeware #tech
1129506898645016581;2019-05-17;Vietnam is the latest country to join the @Huawei #5G ban. #telcos #huaweiban https://buff.ly/2WO42xD;#5G #telcos #huaweiban
1129506076645363713;2019-05-17;@discordapp Image loading seems to be considerably slower in general with mobile version 8.9.7 over the previous 8.8.8. Message loading is less consistent. It doesn't feel like it's only due to spiking API response times. Using a Huawei P9, Android 7.0, EMUI 5.0.4.;
1129505328398311424;2019-05-17;It will also adjust your phone’s brightness based on your habits. The combination of the Android team work and the Huawei own AI deployment is producing some amazing Huawei phones like Huawei P30 series #HuaweiP30 #RewriteTheRules;#HuaweiP30 #RewriteTheRules
1129501125898579971;2019-05-17;my new phone is huawei so android but yh I'm loving this feature! i only ever had iphone before but im really liking android more;
1129495581347450880;2019-05-17;Android Q Beta: Install it right now on Pixel, OnePlus, Huawei and 13 more phones https://buff.ly/307qOCX pic.twitter.com/MyC1FYJgiB;
1129491691210199041;2019-05-17;android obv, samsung and huawei;
1129491402419777541;2019-05-17;Hey #Canadians, @MBS_TECH have a #petition to keep @Huawei out of #Canada! Plz sign to protect our #privacy https://buff.ly/2Q99IzL #canada #telcom #nationalsecurity #huawei #china #coldwar #cybersec #infosec #MobileSecurity #android #iphone #phone #dataprivacy #surveillance #5gpic.twitter.com/2CUFsu27xa;#Canadians #petition #Canada #privacy #canada #telcom #nationalsecurity #huawei #china #coldwar #cybersec #infosec #MobileSecurity #android #iphone #phone #dataprivacy #surveillance #5gpic
1129490529190842371;2019-05-17;Noziroh Watch L5 Smartwatch Bluetooth Wireless Sport Fitness Tracker IP68 Carbon https://buff.ly/30sM0TJ @nozirohofficial @Arrowproject1 @doctorappleita @SocialandTech @Apple @Huawei #Smartwatch #iOS #Android #waterproof #sports #fitness #Italy #USA #China #Russia #Australiapic.twitter.com/4cCLw0NCJC;#Smartwatch #iOS #Android #waterproof #sports #fitness #Italy #USA #China #Russia #Australiapic
1129486508182974464;2019-05-17;i11 Tws wireless Bluetooth headset touch operation for IOS and Huawei Samsung Android smartphone http://kedvezmenyekutcaja.hu/2019/05/17/i11-tws-wireless-bluetooth-headset-touch-operation-for-ios-and-huawei-samsung-android-smartphone/ …;
1129481641251037185;2019-05-17;Recommendation, please. #mobile #best #android #phone Huawei P30 Pro or One+ 7 Pro?;#mobile #best #android #phone
1129477304688603136;2019-05-17;B&H drops the Huawei P30 and P30 Lite prices to $570 and $280, respectively #Android pic.twitter.com/HUFPbi2bwl;#Android
1129475653642801152;2019-05-17;Bluetooth Smart Watch Smartwatch DZ09 Android Phone Call Relogio 2G GSM SIM TF Card Camera for iPhone Samsung HUAWEI PK GT08 A1 pic.twitter.com/h1mFtL6EOU;
1129474687111639040;2019-05-17;@LewLater Eventhough i'm an iphone user i don't think Huawei should be banned for other android users.;
